signature,maxTargetSdk,overrideSourcePosition,trackingBug
|Lcom/android/nfc/module/flags/FeatureFlagsImpl;->ceWakeLock()Z|,||,||,||
|Lcom/android/nfc/module/flags/FeatureFlagsImpl;->nfcHceLatencyEvents()Z|,||,||,||
|Lcom/android/nfc/module/flags/FeatureFlagsImpl;->oemExtension25q4()Z|,||,||,||
|Lcom/android/nfc/module/flags/FeatureFlagsImpl;->readerModeAnnotations()Z|,||,||,||
|Lcom/android/nfc/module/flags/FeatureFlagsImpl;->readerModeIgnoreFrame()Z|,||,||,||
|Lcom/android/nfc/module/flags/Flags;->ceWakeLock()Z|,||,||,||
|Lcom/android/nfc/module/flags/Flags;->nfcHceLatencyEvents()Z|,||,||,||
|Lcom/android/nfc/module/flags/Flags;->oemExtension25q4()Z|,||,||,||
|Lcom/android/nfc/module/flags/Flags;->readerModeAnnotations()Z|,||,||,||
|Lcom/android/nfc/module/flags/Flags;->readerModeIgnoreFrame()Z|,||,||,||
